Time;689 Laser;Blue laser;Chamber-side;Electronics Rm;Enclosure Air;Outside Enclosure;Oven-side
2017-08-04T14:00:00-04:00;51.5999984741;39.2000007629;37.7999992371;37.2999992371;54.2999992371;46.5999984741;20.8999996185
2017-08-04T14:01:00-04:00;52;39.4000015259;37.7999992371;37.0999984741;54.7000007629;46.5999984741;20.8999996185
2017-08-04T14:02:00-04:00;52.5999984741;39.5;37.9000015259;36.5;54.7999992371;46.4000015259;21.1000003815
2017-08-04T14:03:00-04:00;52.2999992371;39.5999984741;38.0999984741;36.4000015259;54.0999984741;46.2999992371;21.1000003815
2017-08-04T14:04:00-04:00;52.2999992371;39.5;38.0999984741;36.2000007629;54;46.2000007629;21
2017-08-04T14:07:00-04:00;52.2000007629;39.5;38.0999984741;36.0999984741;53.5999984741;46.0999984741;21
2017-08-04T14:08:00-04:00;51.5999984741;39.5;38.0999984741;36.0999984741;52.4000015259;46.0999984741;21
2017-08-04T14:09:00-04:00;51.4000015259;39.5;38.2000007629;36;51.7999992371;46.0999984741;21
2017-08-04T14:10:00-04:00;51.2000007629;39.4000015259;38.2000007629;35.9000015259;51.0999984741;46;21
2017-08-04T14:11:00-04:00;50.7000007629;39.5;38.2000007629;36;49.9000015259;46;21.1000003815
2017-08-04T14:12:00-04:00;50.2999992371;39.5999984741;38.2000007629;36.2000007629;48.7000007629;46;21
2017-08-04T14:13:00-04:00;50.2000007629;39.7999992371;38.2000007629;36.2000007629;48.2999992371;46;21.2000007629
2017-08-04T14:14:00-04:00;50.2999992371;40.0999984741;38.5;36.5;48.2999992371;46.0999984741;21.2000007629
2017-08-04T14:15:00-04:00;50.2000007629;40.4000015259;38.5;36.5;48.2000007629;46.4000015259;21.3999996185
2017-08-04T14:17:00-04:00;50.5;40.5;38.7999992371;36.5999984741;48.2000007629;46.7000007629;21.6000003815
2017-08-04T14:18:00-04:00;50.5999984741;40.5999984741;39.0999984741;36.5999984741;48.0999984741;46.9000015259;21.7000007629
2017-08-04T14:20:00-04:00;50.5999984741;40.5999984741;39.4000015259;36.5999984741;47.7000007629;47.2000007629;21.7999992371
2017-08-04T14:23:00-04:00;50.4000015259;40.5;39.4000015259;36.7000007629;47.5;47.2999992371;21.7999992371
2017-08-04T14:24:00-04:00;50.2000007629;40.2999992371;39.5999984741;36.5999984741;47.7000007629;47.5;21.7000007629
2017-08-04T14:25:00-04:00;50.2000007629;40.0999984741;39.7000007629;36.5999984741;47.9000015259;47.5999984741;21.6000003815
2017-08-04T14:26:00-04:00;50.2000007629;40;39.7999992371;36.5;47.7999992371;47.5;21.6000003815
2017-08-04T14:27:00-04:00;50.2000007629;40;39.7999992371;36.5;46.5;47.5;21.6000003815
2017-08-04T14:28:00-04:00;49.2000007629;40;39.4000015259;36.2999992371;47.2999992371;47.5;21.5
2017-08-04T14:29:00-04:00;49.5;39.9000015259;39.2999992371;36.2999992371;48.4000015259;47.4000015259;21.3999996185
2017-08-04T14:30:00-04:00;49.5999984741;39.9000015259;39.0999984741;36.2000007629;48.9000015259;47.2000007629;21.2999992371
2017-08-04T14:31:00-04:00;49.7999992371;39.9000015259;39;36.0999984741;49.5999984741;47.2999992371;21.2999992371
2017-08-04T14:33:00-04:00;50.2000007629;39.9000015259;39;36.0999984741;50.0999984741;47.2999992371;21.2999992371
2017-08-04T14:34:00-04:00;50.4000015259;39.9000015259;38.7999992371;36;50.7000007629;47.5;21.2999992371
2017-08-04T14:35:00-04:00;50.7999992371;39.9000015259;38.7999992371;36;51.4000015259;47.5;21.2999992371
2017-08-04T14:36:00-04:00;51.0999984741;39.7999992371;38.7999992371;36;51.7000007629;47.5999984741;21.2000007629
2017-08-04T14:37:00-04:00;51.2000007629;39.7999992371;38.7000007629;36.0999984741;52;47.7000007629;21.2000007629
2017-08-04T14:38:00-04:00;51.4000015259;39.7999992371;38.5999984741;36.5999984741;52.5;47.7999992371;21.2000007629
2017-08-04T14:39:00-04:00;51.5;39.7999992371;38.5999984741;36.4000015259;52.5999984741;47.7999992371;21.1000003815
2017-08-04T14:41:00-04:00;51.5999984741;39.7999992371;38.5999984741;36.4000015259;52.7999992371;47.7999992371;21.1000003815
2017-08-04T14:42:00-04:00;51.5;39.7999992371;38.5999984741;36.4000015259;52.9000015259;47.9000015259;21
2017-08-04T14:43:00-04:00;51.5999984741;39.7000007629;38.5;36.4000015259;52.9000015259;48;21
2017-08-04T14:45:00-04:00;51.7000007629;39.5999984741;38.4000015259;36.0999984741;53;48;20.7999992371
2017-08-04T14:46:00-04:00;51.7000007629;39.5;38.4000015259;36.2000007629;53.0999984741;47.9000015259;20.7999992371
2017-08-04T14:47:00-04:00;51.9000015259;39.5;38.2999992371;36.7000007629;53.4000015259;47.9000015259;20.7999992371
2017-08-04T14:49:00-04:00;51.7000007629;39.5;38.2000007629;36.9000015259;53.5;47.9000015259;20.8999996185
2017-08-04T14:51:00-04:00;51.5999984741;39.7000007629;38.2000007629;37.5;53.9000015259;48;21
2017-08-04T14:52:00-04:00;51.7999992371;39.9000015259;38.0999984741;36.7000007629;54.2999992371;47.5999984741;21.2000007629
2017-08-04T14:53:00-04:00;52.0999984741;39.9000015259;38.0999984741;36.9000015259;54.7000007629;47.4000015259;21.2999992371
2017-08-04T14:54:00-04:00;52.5;39.9000015259;38.0999984741;36.7000007629;54.7000007629;47.2999992371;21.3999996185
2017-08-04T14:55:00-04:00;52.2999992371;40;38;37.4000015259;54.4000015259;47.0999984741;21.3999996185
2017-08-04T14:56:00-04:00;52.5;40.2000007629;38;37.7999992371;54.2000007629;47.0999984741;21.5
2017-08-04T14:57:00-04:00;52.5;40.2999992371;38.0999984741;38.5999984741;53.7999992371;46.7999992371;21.5
2017-08-04T14:58:00-04:00;52;40.0999984741;38.2000007629;38.7999992371;52.7000007629;46.7999992371;21.6000003815
2017-08-04T15:00:00-04:00;51.9000015259;40.0999984741;38.4000015259;38.4000015259;52.2999992371;46.7000007629;21.6000003815
2017-08-04T15:01:00-04:00;51.7999992371;40;38.5;38.5;51.7000007629;46.7999992371;21.6000003815
2017-08-04T15:02:00-04:00;51.5999984741;39.9000015259;38.5999984741;38.7000007629;51;46.7999992371;21.6000003815
2017-08-04T15:03:00-04:00;51.2000007629;39.7999992371;38.7999992371;37.9000015259;50.0999984741;46.7000007629;21.5
2017-08-04T15:05:00-04:00;50.2999992371;39.7999992371;38.9000015259;38.2000007629;48.7000007629;46.7999992371;21.3999996185
2017-08-04T15:06:00-04:00;49.9000015259;39.7000007629;39;38.0999984741;47.2000007629;46.7000007629;21.5
2017-08-04T15:07:00-04:00;49.7000007629;39.5999984741;39.0999984741;38.2999992371;46.7000007629;46.5999984741;21.3999996185
2017-08-04T15:08:00-04:00;49.4000015259;39.4000015259;39.0999984741;38.2000007629;46.2999992371;46.7000007629;21.2000007629
2017-08-04T15:09:00-04:00;48.7999992371;39.4000015259;39.2000007629;38.0999984741;45.7999992371;46.5999984741;21.1000003815
2017-08-04T15:10:00-04:00;48.7999992371;39.4000015259;39.2000007629;37.7000007629;45.4000015259;46.5999984741;21.1000003815
2017-08-04T15:11:00-04:00;47.9000015259;39.4000015259;39.0999984741;37.5999984741;45.4000015259;46.7000007629;21
2017-08-04T15:12:00-04:00;47.9000015259;39.4000015259;39.0999984741;37.5999984741;45.5;46.5999984741;20.8999996185
2017-08-04T15:13:00-04:00;48.0999984741;39.4000015259;39.0999984741;37.2999992371;44.5;46.5;20.8999996185
2017-08-04T15:16:00-04:00;48.5;39.5;39.0999984741;37.0999984741;44.4000015259;46.5999984741;21
2017-08-04T15:17:00-04:00;48.9000015259;39.5999984741;39;37.2000007629;45.0999984741;46.7000007629;21
2017-08-04T15:18:00-04:00;49.5;39.5999984741;38.9000015259;37.0999984741;45.9000015259;46.7999992371;21
2017-08-04T15:19:00-04:00;49.7999992371;39.5999984741;38.7999992371;37.0999984741;46.5;46.7000007629;21.1000003815
2017-08-04T15:20:00-04:00;50.2000007629;39.5999984741;38.5999984741;37;48.2999992371;46.7999992371;21
2017-08-04T15:21:00-04:00;50.5;39.5999984741;38.4000015259;36.7999992371;49.2999992371;46.7999992371;21
2017-08-04T15:22:00-04:00;51;39.5999984741;38.4000015259;36.7000007629;50.2000007629;46.7000007629;20.8999996185
2017-08-04T15:23:00-04:00;51.2000007629;39.5999984741;38.2999992371;36.5999984741;50.7999992371;46.7999992371;21
2017-08-04T15:25:00-04:00;51.2000007629;39.5999984741;38.2999992371;36.5999984741;51.2999992371;46.9000015259;20.7999992371
2017-08-04T15:27:00-04:00;51.5999984741;39.5;38.2999992371;36.4000015259;51.7999992371;47;20.7000007629
2017-08-04T15:28:00-04:00;51.5999984741;39.5;38.2999992371;36.4000015259;52.2999992371;47.2000007629;20.6000003815
2017-08-04T15:29:00-04:00;51.5999984741;39.4000015259;38.4000015259;36.2999992371;52.5;47.2000007629;20.6000003815
2017-08-04T15:31:00-04:00;51.5;39.4000015259;38.4000015259;36.2000007629;52.7000007629;47.4000015259;20.6000003815
2017-08-04T15:32:00-04:00;51.5;39.2999992371;38.4000015259;36.0999984741;52.9000015259;47.5999984741;20.5
2017-08-04T15:33:00-04:00;51.5;39.2000007629;38.2000007629;36.2000007629;52.9000015259;47.5999984741;20.6000003815
2017-08-04T15:34:00-04:00;51.5;39.2000007629;38.2999992371;36.0999984741;52.9000015259;47.7000007629;20.6000003815
2017-08-04T15:35:00-04:00;51.5;39.2000007629;38.2999992371;36.0999984741;53;47.7999992371;20.7000007629
2017-08-04T15:36:00-04:00;51.5;39.2000007629;38.2999992371;36.4000015259;53.4000015259;47.7999992371;20.7000007629
2017-08-04T15:37:00-04:00;51.4000015259;39.2000007629;38.2000007629;36.2999992371;53.5999984741;47.7000007629;20.8999996185
2017-08-04T15:38:00-04:00;51.4000015259;39.2999992371;38.0999984741;36.7000007629;53.7000007629;47.7000007629;20.8999996185
2017-08-04T15:39:00-04:00;51.7000007629;39.4000015259;38.0999984741;37;53.7999992371;47.5999984741;21
2017-08-04T15:40:00-04:00;52.0999984741;39.5;38;37.2000007629;53.5;47.2999992371;21
2017-08-04T15:41:00-04:00;52.5;39.5;37.7999992371;37.5;53.7000007629;47;21
2017-08-04T15:43:00-04:00;52.0999984741;39.7000007629;37.7000007629;36.7000007629;54.7000007629;46.5999984741;21.2000007629
2017-08-04T15:44:00-04:00;52.0999984741;39.7999992371;37.7000007629;37.7000007629;55.0999984741;46.5;21.2000007629
2017-08-04T15:45:00-04:00;52.0999984741;39.7999992371;37.7000007629;38.4000015259;54.2000007629;45.9000015259;21.2999992371
2017-08-04T15:46:00-04:00;51.5;40;37.7000007629;38.2000007629;53.7999992371;45.7999992371;21.3999996185
2017-08-04T15:47:00-04:00;51.4000015259;40.0999984741;38;38.2000007629;52.5999984741;45.7000007629;21.5
2017-08-04T15:48:00-04:00;51.2000007629;40.2000007629;38.0999984741;38.7000007629;52;45.5;21.6000003815
2017-08-04T15:49:00-04:00;51.2999992371;40.2000007629;38.0999984741;38.5;51.4000015259;45.4000015259;21.6000003815
2017-08-04T15:50:00-04:00;50.9000015259;40.0999984741;38.0999984741;38.7999992371;50.7999992371;45.4000015259;21.6000003815
2017-08-04T15:52:00-04:00;50.5;40.0999984741;38.2000007629;38.9000015259;50;45.4000015259;21.6000003815
2017-08-04T15:53:00-04:00;50.2000007629;40.0999984741;38.2000007629;39.0999984741;48.7999992371;45.5;21.6000003815
2017-08-04T15:54:00-04:00;50.0999984741;40.0999984741;38.2000007629;38.2000007629;48;45.5999984741;21.6000003815
2017-08-04T15:55:00-04:00;50.0999984741;40.2000007629;38.2999992371;39.0999984741;47;45.5999984741;21.6000003815
2017-08-04T15:56:00-04:00;49.7000007629;40.4000015259;38.4000015259;39.5999984741;46.2000007629;45.9000015259;21.6000003815
2017-08-04T15:57:00-04:00;49.5;40.2999992371;38.5999984741;38.7000007629;46.0999984741;46;21.6000003815
2017-08-04T15:58:00-04:00;49.5999984741;40.4000015259;38.5999984741;38.5;45.4000015259;46.4000015259;21.6000003815
2017-08-04T15:59:00-04:00;48.7999992371;undefined;38.7999992371;38.4000015259;45.5999984741;46.5;21.6000003815
2017-08-04T15:48:00-04:00;48.9000015259;undefined;39;38.4000015259;46.2999992371;46.7000007629;undefined
2017-08-04T15:49:00-04:00;49.2000007629;undefined;39.0999984741;38.2000007629;47;46.7999992371;undefined
2017-08-04T15:50:00-04:00;49.4000015259;undefined;39.2999992371;38.0999984741;47.7000007629;46.9000015259;undefined
2017-08-04T15:52:00-04:00;49.7000007629;undefined;39.4000015259;38.5;48.7999992371;47.2000007629;undefined
2017-08-04T15:53:00-04:00;50.2000007629;undefined;39.5;38.5;49.5;47.4000015259;undefined
2017-08-04T15:54:00-04:00;50.4000015259;undefined;39.5;38.2000007629;50.2000007629;47.5999984741;undefined
2017-08-04T15:55:00-04:00;50.7999992371;undefined;39.4000015259;37.7999992371;51;47.7000007629;undefined
2017-08-04T15:56:00-04:00;undefined;undefined;39.4000015259;undefined;undefined;48;undefined
2017-08-04T15:57:00-04:00;undefined;undefined;39.4000015259;undefined;undefined;48.2000007629;undefined
2017-08-04T15:58:00-04:00;undefined;undefined;39.2999992371;undefined;undefined;48.4000015259;undefined
2017-08-04T15:59:00-04:00;undefined;undefined;39.4000015259;undefined;undefined;48.5;undefined
2017-08-04T15:59:00-04:00;undefined;undefined;39.4000015259;undefined;undefined;undefined;undefined
